firstName,apiVersion,script,id,firstName,lastName,countryOrigin,countryOriginAlt,countriesOriginTop,score,regionOrigin,topRegionOrigin,subRegionOrigin,probabilityCalibrated,probabilityAltCalibrated
isabella,namsor_api_2.0.24,LATIN,2832eea6-fdc4-4bc7-be4a-981a05417c6e,isabella,,GB,IT,"GB,IT,IE,AZ,SE,IL,CH,KE,NA,AT",0.537937703,Europe,Europe,Northern Europe,0.439909701,0.439909701
archie,namsor_api_2.0.24,LATIN,48f8edd7-db69-4504-be4b-1e6e6e63f0ab,archie,,LR,GB,"LR,GB,IE,CM,GE,NL,IL,ZA,CI,NA",0.450331726,Africa,Africa,Western Africa,0.425794903,0.49583946
willow,namsor_api_2.0.24,LATIN,501feb91-428a-4caa-bdc3-c5fabde18423,willow,,NA,GB,"NA,GB,TW,MY,KE,ZA,NL,LR,IE,MM",0,Africa,Africa,Southern Africa,0.316211104,0.369348759
hudson,namsor_api_2.0.24,LATIN,1112b58c-00be-46b7-847d-49ec8db2618a,hudson,,KE,TW,"KE,TW,TZ,UZ,GB,NA,VN,IS,KH,MG",3.799303629,Africa,Africa,Eastern Africa,0.548366139,0.613756533
lily,namsor_api_2.0.24,LATIN,c49d9eb3-8aa8-48df-83ad-56fd9c1913d0,lily,,IE,GB,"IE,GB,KE,UA,AM,RU,TW,BG,ID,MY",0.907052378,Europe,Europe,Northern Europe,0.460988721,0.489451173
luca,namsor_api_2.0.24,LATIN,7a98190b-d5fe-4fad-a536-0b5044e5c211,luca,,IT,RO,"IT,RO,HR,CH,MD,CZ,NL,SK,TZ,HU",7.354131425,Europe,Europe,Southern Europe,0.728806285,0.807759066
zoe,namsor_api_2.0.24,LATIN,fe08b594-aeef-4246-9a04-89b36f0c3ca9,zoe,,ZA,GB,"ZA,GB,MM,LR,BF,TW,MG,CY,HU,NL",0.068780102,Africa,Africa,Southern Africa,0.361754611,0.383625502
alexander,namsor_api_2.0.24,LATIN,8ec6eeb0-a6ee-44f2-956c-8a960f1ceb7d,alexander,,RU,BY,"RU,BY,UA,UZ,BG,AT,SK,DE,MD,GB",3.266766241,Europe,Europe,Eastern Europe,0.503583209,0.682716334
evie,namsor_api_2.0.24,LATIN,c17f2060-d24e-47a5-a202-1121d9c0d4ae,evie,,ID,BE,"ID,BE,NL,IL,CY,CM,GB,CZ,FR,NA",0.158201436,Asia,Asia,South-Eastern Asia,0.377009704,0.482523219
james,namsor_api_2.0.24,LATIN,962955a4-fa35-4de4-a90b-f51af02d407a,james,,KE,GB,"KE,GB,IE,LR,TZ,NA,FR,LB,NL,TW",1.342639131,Africa,Africa,Eastern Africa,0.474306957,0.482341207
