firstName,apiVersion,script,id,firstName,lastName,countryOrigin,countryOriginAlt,countriesOriginTop,score,regionOrigin,topRegionOrigin,subRegionOrigin,probabilityCalibrated,probabilityAltCalibrated
laura,namsor_api_2.0.24,LATIN,3baef86c-f7ac-4a08-8098-ead47b6f4bb7,laura,,RO,GE,"RO,GE,FI,LT,IT,EE,HR,NL,GB,KZ",1.526264599234461,Europe,Europe,Eastern Europe,0.4790264007650289,0.48484589690917973
elizabet,namsor_api_2.0.24,LATIN,28763cb3-7991-4714-9373-58173b696128,elizabet,,ET,IL,"ET,IL,AZ,GE,SE,BG,KE,EE,KZ,IS",0.4519059525283615,Africa,Africa,Eastern Africa,0.42605111533571005,0.42605111533571005
pamela,namsor_api_2.0.24,LATIN,422ad962-7acb-4a47-9502-e3b29a8fa161,pamela,,IT,GB,"IT,GB,BG,KE,GE,ZA,CH,NA,IL,IE",0,Europe,Europe,Southern Europe,0.24029606343398544,0.30500225355808036
donna,namsor_api_2.0.24,LATIN,9a04b419-bd4e-41e5-b16a-66c7a7f6f106,donna,,GB,IE,"GB,IE,BG,IL,ID,NA,UZ,NL,GE,IT",1.065324198652392,Europe,Europe,Northern Europe,0.4661670468118614,0.4661670468118614
kathleen,namsor_api_2.0.24,LATIN,0e5eea45-fdaa-4f64-8579-dd1cd7181d20,kathleen,,IE,BE,"IE,BE,GB,DE,DK,NL,EE,NA,KE,NO",1.5440982152617961,Europe,Europe,Northern Europe,0.4794565054300728,0.4794565054300728
lori,namsor_api_2.0.24,LATIN,7c4f382d-fee2-4dc0-8cbb-6b988c1d91b5,lori,,GE,IL,"GE,IL,RO,GB,MD,ZA,HR,HU,AM,IT",3.9784414932085057,Asia,Asia,Western Asia,0.5590093138567649,0.7788691340678647
kimberly,namsor_api_2.0.24,LATIN,6d3efe85-5492-47eb-8a8e-f91b6e1b5284,kimberly,,GB,NL,"GB,NL,KH,BE,KE,NA,TW,ZA,VN,MY",0.4305193206130132,Europe,Europe,Northern Europe,0.4225628036584641,0.43693426790525636
teresa,namsor_api_2.0.24,LATIN,353e39d5-431a-48cd-a60b-48260e29d931,teresa,,IE,CZ,"IE,CZ,FI,GE,ET,GB,SK,LR,KE,ZA",3.437137811819037,Europe,Europe,Northern Europe,0.5204129585396526,0.5204129585396526
julie,namsor_api_2.0.24,LATIN,2444d6bb-1453-4bba-b018-c4a710e84c2b,julie,,FR,BE,"FR,BE,CM,GB,DK,IE,CZ,MG,NL,CH",4.841108979463097,Europe,Europe,Western Europe,0.5938969933042255,0.6764583987877416
cheryl,namsor_api_2.0.24,LATIN,b26c9e73-0eb3-4165-abda-33803fcd83f6,cheryl,,GB,TW,"GB,TW,KE,MY,IL,ZA,NL,NA,CM,KH",1.048429840677729,Europe,Europe,Northern Europe,0.4656322765550315,0.5029283599126089
barbara,namsor_api_2.0.24,LATIN,264737c9-4631-4371-9654-4f39209050c5,barbara,,CZ,PL,"CZ,PL,SI,AT,HU,IL,CH,GE,IT,NL",1.6782425795487776,Europe,Europe,Eastern Europe,0.48253471253606156,0.6410907283102786
nancy,namsor_api_2.0.24,LATIN,4602d313-465a-4758-8e93-cdd479519998,nancy,,KE,LR,"KE,LR,BE,NA,IE,EG,LB,GB,NL,MG",2.3944241445268366,Africa,Africa,Eastern Africa,0.4947287114214297,0.4985335510035522
denise,namsor_api_2.0.24,LATIN,9cb5961b-cdb9-4bbf-a339-e6f03810b915,denise,,FR,CH,"FR,CH,IE,NL,CM,GB,BE,DK,TR,KE",0.877269333357877,Europe,Europe,Western Europe,0.45997314184562865,0.45997314184562865
christin,namsor_api_2.0.24,LATIN,75b70afc-b3af-443d-9d86-de130b2ee01e,christin,,AT,DE,"AT,DE,SE,FR,CM,CH,NO,DK,GB,BG",0.3944596160116778,Europe,Europe,Western Europe,0.4166456766228059,0.4757404859358219
carol,namsor_api_2.0.24,LATIN,53e39c8a-0995-4ca3-8ae9-b5c9dad06bd5,carol,,GB,KE,"GB,KE,IE,CM,CH,LB,NL,IL,BE,SE",0.14229620919840152,Europe,Europe,Northern Europe,0.37430243186681234,0.6278225197635446
